,hashtags,id,name,screen_name,hashtags_count
0,2015NepalBlockade,305125998,Jeffrey Gettleman,gettleman,1
1,6PM,305125998,Jeffrey Gettleman,gettleman,1
2,ARYNews,305125998,Jeffrey Gettleman,gettleman,1
3,Abhinandan,305125998,Jeffrey Gettleman,gettleman,1
4,Adani,305125998,Jeffrey Gettleman,gettleman,1
5,Africa,305125998,Jeffrey Gettleman,gettleman,6
6,Africans,305125998,Jeffrey Gettleman,gettleman,1
7,Aghast,305125998,Jeffrey Gettleman,gettleman,1
8,AirPollution,305125998,Jeffrey Gettleman,gettleman,2
9,AmCenterND,305125998,Jeffrey Gettleman,gettleman,2
10,Anantnag,305125998,Jeffrey Gettleman,gettleman,1
11,Angola,305125998,Jeffrey Gettleman,gettleman,1
12,AntiHateChallenge,305125998,Jeffrey Gettleman,gettleman,1
13,Ape,305125998,Jeffrey Gettleman,gettleman,2
14,ApeTrade,305125998,Jeffrey Gettleman,gettleman,1
15,ApeTrafficking,305125998,Jeffrey Gettleman,gettleman,1
16,Apes,305125998,Jeffrey Gettleman,gettleman,1
17,Article,305125998,Jeffrey Gettleman,gettleman,1
18,Asifa,305125998,Jeffrey Gettleman,gettleman,2
19,AsifaBano,305125998,Jeffrey Gettleman,gettleman,1
20,Atrocity,305125998,Jeffrey Gettleman,gettleman,1
21,AungSanSuuKyi,305125998,Jeffrey Gettleman,gettleman,1
22,Australia,305125998,Jeffrey Gettleman,gettleman,1
23,BBCInnovators,305125998,Jeffrey Gettleman,gettleman,1
24,BREAKING,305125998,Jeffrey Gettleman,gettleman,2
25,BalakotAirStrike,305125998,Jeffrey Gettleman,gettleman,1
26,BangBangClub,305125998,Jeffrey Gettleman,gettleman,1
27,Bangkok,305125998,Jeffrey Gettleman,gettleman,1
28,Bangladesh,305125998,Jeffrey Gettleman,gettleman,6
29,Banyantree,305125998,Jeffrey Gettleman,gettleman,1
30,Baramulla,305125998,Jeffrey Gettleman,gettleman,1
31,BeAMarshall,305125998,Jeffrey Gettleman,gettleman,1
32,BerlinWall,305125998,Jeffrey Gettleman,gettleman,1
33,BokoHaram,305125998,Jeffrey Gettleman,gettleman,1
